application_id,month_offset,total_credits,total_debits,min_eod_balance,emi_bounces,cheque_bounces,salary_credit_present
APP-000001,-5,53543,35098,10701,0,0,0
APP-000001,-4,44313,35191,2259,0,0,0
APP-000001,-3,74630,56430,7479,0,0,0
APP-000001,-2,36640,31969,2596,0,0,0
APP-000001,-1,66753,56048,2879,0,0,0
APP-000001,0,64188,42991,3625,0,0,0
APP-000002,-5,42032,38123,1066,0,0,1
APP-000002,-4,43376,39208,1632,0,0,1
APP-000002,-3,45237,40842,2465,0,0,1
APP-000002,-2,43907,28937,3903,0,0,1
APP-000002,-1,43448,34006,1700,0,0,1
APP-000002,0,46367,37576,4755,0,0,1
APP-000003,-5,77542,66910,2746,0,0,1
APP-000003,-4,86575,61492,4194,0,0,1
APP-000003,-3,72965,56007,5063,0,0,1
APP-000003,-2,74624,63677,2489,1,0,1
APP-000003,-1,72442,59591,5940,0,0,1
APP-000003,0,81847,50269,15508,0,0,1
APP-000004,-5,63633,48541,5174,0,0,1
APP-000004,-4,66960,59662,4132,0,0,1
APP-000004,-3,74786,57539,3639,0,0,1
APP-000004,-2,68424,48028,6810,0,0,1
APP-000004,-1,70378,54681,4751,0,0,1
APP-000004,0,71512,52721,4605,0,0,1
APP-000005,-5,30948,21507,4855,0,0,0
APP-000005,-4,16464,10236,2009,0,0,0
APP-000005,-3,31525,24509,4188,0,0,0
APP-000005,-2,21091,13515,3977,0,0,0
APP-000005,-1,33226,25855,3173,0,0,0
APP-000005,0,16741,11751,2103,0,0,0
APP-000006,-5,102008,94734,2655,0,0,0
APP-000006,-4,110946,102492,4068,0,0,0
APP-000006,-3,101107,92981,3468,1,0,0
APP-000006,-2,113612,107809,2586,0,0,0
APP-000006,-1,131704,118782,3709,0,0,0
APP-000006,0,74636,54920,3172,0,0,0
APP-000007,-5,51502,37098,5695,0,0,0
APP-000007,-4,52406,37889,7419,0,0,1
APP-000007,-3,63191,55619,2353,0,0,1
APP-000007,-2,58378,51603,2663,0,1,1
APP-000007,-1,60094,46839,2162,0,0,1
APP-000007,0,61718,39724,5952,0,0,1
APP-000008,-5,18712,15203,1607,1,0,1
APP-000008,-4,19012,16495,564,0,0,1
APP-000008,-3,17810,13472,1623,0,0,0
APP-000008,-2,20379,19086,500,0,0,0
APP-000008,-1,19965,16799,1417,0,0,1
APP-000008,0,20055,14265,1079,0,0,1
APP-000009,-5,39966,26856,5818,0,0,1
APP-000009,-4,40608,27853,2604,0,0,1
APP-000009,-3,42718,32416,2221,0,0,1
APP-000009,-2,39586,25497,8379,0,0,1
APP-000009,-1,38641,36467,500,0,0,1
APP-000009,0,44597,26857,5189,0,0,1
APP-000010,-5,40872,29879,2938,0,0,0
APP-000010,-4,58067,49691,4737,1,0,0
APP-000010,-3,74478,61231,4811,0,0,0
APP-000010,-2,45442,39036,3580,0,0,0
APP-000010,-1,69500,58353,3651,0,0,0
APP-000010,0,79978,70566,1647,0,0,0
APP-000011,-5,66604,42191,9681,0,0,1
APP-000011,-4,64667,56107,1930,0,0,0
APP-000011,-3,72111,53716,6582,0,0,1
APP-000011,-2,79025,73209,1733,0,1,1
APP-000011,-1,65831,40713,13607,0,0,1
APP-000011,0,65610,58596,2731,0,0,1
APP-000012,-5,148318,135635,3581,0,0,0
APP-000012,-4,136857,83349,17635,0,0,0
APP-000012,-3,174446,113512,28124,0,0,0
APP-000012,-2,158856,98348,21821,0,0,0
APP-000012,-1,100337,84392,3269,0,0,0
APP-000012,0,122695,102616,8954,0,0,0
APP-000013,-5,47588,30238,9052,0,0,1
APP-000013,-4,44858,34074,5791,0,0,1
APP-000013,-3,45463,42285,1760,0,0,1
APP-000013,-2,48234,36931,1887,1,0,1
APP-000013,-1,50572,43890,3210,0,0,1
APP-000013,0,44584,27620,4425,0,0,1
APP-000014,-5,96653,60489,12605,0,0,1
APP-000014,-4,102223,69022,15351,0,0,1
APP-000014,-3,102620,79861,12968,0,0,1
APP-000014,-2,102265,70924,9539,0,0,1
APP-000014,-1,90602,77158,5654,0,0,1
APP-000014,0,102015,63368,12953,0,0,1
APP-000015,-5,39995,32099,3974,0,0,1
APP-000015,-4,43385,29412,5710,0,0,1
APP-000015,-3,41184,32823,3345,0,0,1
APP-000015,-2,48393,42525,3510,0,0,1
APP-000015,-1,42523,29633,6263,0,0,1
APP-000015,0,45548,39856,1008,0,0,1
APP-000016,-5,63604,40252,12273,0,0,1
APP-000016,-4,68847,49809,10605,0,0,1
APP-000016,-3,60346,42170,6120,0,0,1
APP-000016,-2,62296,45785,9686,1,0,1
APP-000016,-1,66310,50551,5388,0,0,1
APP-000016,0,69359,65518,1381,0,0,1
APP-000017,-5,94842,59181,13434,0,0,0
APP-000017,-4,102388,68817,13918,0,0,0
APP-000017,-3,128497,86712,10197,0,0,0
APP-000017,-2,96470,75990,10806,0,0,0
APP-000017,-1,140369,102016,16328,0,0,0
APP-000017,0,93882,76965,5539,0,0,0
APP-000018,-5,42161,27204,3734,0,0,1
APP-000018,-4,47050,32438,2867,0,0,1
APP-000018,-3,46041,41043,2849,0,0,1
APP-000018,-2,43550,30527,2894,0,1,1
APP-000018,-1,49082,45170,1618,0,0,1
APP-000018,0,46313,34361,2500,1,0,1
APP-000019,-5,120770,95379,5233,0,0,0
APP-000019,-4,179856,167913,6819,0,0,0
APP-000019,-3,92379,78508,2679,0,0,0
APP-000019,-2,99668,70447,14227,0,0,0
APP-000019,-1,187960,176063,5320,0,0,0
APP-000019,0,160417,145498,8698,0,0,0
APP-000020,-5,22295,14255,4184,0,0,1
APP-000020,-4,21262,18731,515,0,0,1
APP-000020,-3,22720,19699,1383,0,0,1
APP-000020,-2,22021,15000,3237,0,0,1
APP-000020,-1,25029,15845,2161,0,0,1
APP-000020,0,22688,14261,4536,0,0,1
APP-000021,-5,107560,94874,7610,0,1,1
APP-000021,-4,95608,75800,7543,0,0,1
APP-000021,-3,97325,79243,9399,0,1,1
APP-000021,-2,94323,78545,7929,0,0,1
APP-000021,-1,92877,73692,7603,0,0,1
APP-000021,0,102785,86519,3254,1,0,1
APP-000022,-5,160028,105086,18299,0,0,1
APP-000022,-4,159876,142183,9018,0,0,1
APP-000022,-3,186886,141677,22200,0,0,1
APP-000022,-2,152811,123627,15684,0,0,1
APP-000022,-1,192261,141457,16133,0,0,1
APP-000022,0,192744,163743,7192,0,0,1
APP-000023,-5,44065,40682,1256,0,0,1
APP-000023,-4,53473,44522,2758,0,0,1
APP-000023,-3,54064,49996,1843,0,0,1
APP-000023,-2,47408,31747,8483,0,0,1
APP-000023,-1,47717,42698,2048,0,0,1
APP-000023,0,49414,30860,11066,0,0,1
APP-000024,-5,88640,81758,1312,0,0,1
APP-000024,-4,97330,91351,3017,0,0,0
APP-000024,-3,81208,55396,8259,0,0,1
APP-000024,-2,81191,70401,5554,0,0,1
APP-000024,-1,94061,81052,7586,0,0,1
APP-000024,0,82973,65269,2845,0,0,1
APP-000025,-5,17531,16525,500,0,0,1
APP-000025,-4,17520,14662,621,0,0,1
APP-000025,-3,21436,17885,1560,1,0,1
APP-000025,-2,21018,12997,3012,0,0,1
APP-000025,-1,19415,15576,2284,0,0,1
APP-000025,0,20809,15530,1182,1,0,1
APP-000026,-5,37323,34619,714,0,0,0
APP-000026,-4,23758,20687,1213,0,0,0
APP-000026,-3,22287,15038,4019,0,0,0
APP-000026,-2,31943,28532,1495,1,0,0
APP-000026,-1,31197,20252,6354,0,1,0
APP-000026,0,22382,19824,818,0,0,0
APP-000027,-5,68328,56492,1901,0,0,1
APP-000027,-4,68103,54039,6219,0,0,1
APP-000027,-3,68764,63751,1572,0,0,1
APP-000027,-2,59090,52054,3851,0,0,1
APP-000027,-1,64128,48467,8822,0,0,1
APP-000027,0,64887,43996,5776,0,0,1
APP-000028,-5,99921,68745,5389,0,0,1
APP-000028,-4,104706,84042,10895,0,0,1
APP-000028,-3,99386,71372,4541,0,0,1
APP-000028,-2,106281,69500,17887,0,0,1
APP-000028,-1,96833,88314,2135,0,0,1
APP-000028,0,105450,71478,7542,0,0,1
APP-000029,-5,21153,18760,1085,0,0,0
APP-000029,-4,29868,24893,809,0,0,0
APP-000029,-3,29658,20632,3905,0,0,0
APP-000029,-2,30369,27432,911,0,0,0
APP-000029,-1,42061,28364,5585,1,0,0
APP-000029,0,32071,25878,1700,0,0,0
APP-000030,-5,45425,32401,5878,0,0,1
APP-000030,-4,39890,36231,952,0,0,1
APP-000030,-3,49174,31143,9719,0,0,1
APP-000030,-2,39906,31594,3852,0,1,1
APP-000030,-1,44401,34741,5609,0,0,1
APP-000030,0,39971,28009,2926,0,0,1
APP-000031,-5,43087,34931,3390,0,0,1
APP-000031,-4,48984,39691,3398,0,0,1
APP-000031,-3,46587,36577,5571,0,0,1
APP-000031,-2,42931,30007,5433,0,0,1
APP-000031,-1,51148,33469,7615,0,0,1
APP-000031,0,47668,35314,5680,0,0,1
APP-000032,-5,100989,73880,15130,0,0,1
APP-000032,-4,101061,77160,7314,0,0,1
APP-000032,-3,108613,88816,7582,0,0,1
APP-000032,-2,94809,56988,18607,0,0,1
APP-000032,-1,100614,89585,4216,0,0,1
APP-000032,0,88892,60047,14794,0,0,1
APP-000033,-5,33889,23869,4018,0,0,0
APP-000033,-4,38764,25914,3826,1,1,1
APP-000033,-3,35755,26601,4687,0,0,1
APP-000033,-2,40478,33597,2619,1,0,1
APP-000033,-1,38715,23667,7425,0,0,1
APP-000033,0,38472,30056,3760,0,0,1
APP-000034,-5,68654,61970,1657,0,0,1
APP-000034,-4,69995,55941,6922,0,0,1
APP-000034,-3,68968,61722,2335,0,0,1
APP-000034,-2,67998,41786,11217,0,0,1
APP-000034,-1,65752,61276,1634,0,0,1
APP-000034,0,78549,48956,9322,0,0,1
APP-000035,-5,230432,153112,22290,0,0,0
APP-000035,-4,289414,272797,9833,0,0,0
APP-000035,-3,148825,140838,2487,0,0,0
APP-000035,-2,145613,114342,4753,0,0,0
APP-000035,-1,270102,250768,7777,0,0,0
APP-000035,0,157371,144757,5945,0,0,0
APP-000036,-5,75495,49991,13728,0,0,1
APP-000036,-4,76374,53679,7403,0,0,1
APP-000036,-3,88248,67664,4808,0,0,1
APP-000036,-2,81706,54939,6479,0,0,1
APP-000036,-1,86927,67254,10584,0,0,1
APP-000036,0,83943,67719,8336,0,0,1
APP-000037,-5,72307,47613,14315,0,0,0
APP-000037,-4,106233,86017,9292,0,0,0
APP-000037,-3,64813,61243,1739,0,0,0
APP-000037,-2,66587,53256,3984,0,0,0
APP-000037,-1,74782,48855,7019,0,0,0
APP-000037,0,68702,60562,2022,0,0,0
APP-000038,-5,42156,32668,3753,0,0,1
APP-000038,-4,41099,26407,4705,0,0,1
APP-000038,-3,45066,32147,4063,1,0,1
APP-000038,-2,44031,31563,7400,0,0,1
APP-000038,-1,36605,30254,3352,0,0,1
APP-000038,0,39883,33553,2361,0,0,1
APP-000039,-5,22420,20480,500,0,0,1
APP-000039,-4,25763,23526,1291,0,0,1
APP-000039,-3,24358,16843,4386,0,0,1
APP-000039,-2,23183,14284,2293,0,0,1
APP-000039,-1,22806,18656,1061,0,0,1
APP-000039,0,25589,21941,919,0,0,0
APP-000040,-5,109874,102068,3624,0,1,1
APP-000040,-4,101974,76666,11351,0,0,1
APP-000040,-3,101911,80530,6485,0,0,1
APP-000040,-2,104029,89231,6356,0,0,1
APP-000040,-1,109711,96325,2908,0,0,1
APP-000040,0,92944,79621,4856,0,0,1
APP-000041,-5,34698,28694,2008,1,0,1
APP-000041,-4,33438,28205,2488,0,0,1
APP-000041,-3,40485,26726,6629,0,1,1
APP-000041,-2,39770,32259,4086,0,0,1
APP-000041,-1,41361,31755,3066,1,0,1
APP-000041,0,40324,33748,3264,0,0,1
APP-000042,-5,56434,34197,5945,0,0,0
APP-000042,-4,46822,34231,4595,0,0,0
APP-000042,-3,56798,46645,1957,0,0,0
APP-000042,-2,61287,56150,2735,0,0,0
APP-000042,-1,52228,44285,3965,0,0,0
APP-000042,0,33269,20110,2414,0,0,0
APP-000043,-5,29189,18042,2000,0,0,1
APP-000043,-4,26408,20088,2480,0,0,1
APP-000043,-3,31643,28175,1256,1,0,1
APP-000043,-2,25036,20174,1946,0,0,1
APP-000043,-1,25506,20974,2393,0,0,1
APP-000043,0,31312,22425,1720,0,0,1
APP-000044,-5,104208,85127,9845,0,0,1
APP-000044,-4,120056,111680,2141,0,0,1
APP-000044,-3,118500,98419,8980,0,0,1
APP-000044,-2,126502,81093,8331,1,0,1
APP-000044,-1,105050,80157,6020,0,0,1
APP-000044,0,127623,91575,13752,0,0,1
APP-000045,-5,65471,40832,5011,0,0,1
APP-000045,-4,64169,39553,12938,0,0,1
APP-000045,-3,55998,35015,6357,1,1,1
APP-000045,-2,63100,56292,3910,0,0,1
APP-000045,-1,61185,46351,2711,0,0,0
APP-000045,0,57569,41686,9247,0,0,1
APP-000046,-5,57110,42325,5082,0,0,0
APP-000046,-4,45333,38507,1881,0,0,0
APP-000046,-3,57329,51673,2210,0,0,0
APP-000046,-2,76081,50121,5334,0,0,0
APP-000046,-1,68664,54579,2562,0,0,0
APP-000046,0,79732,70035,2168,0,0,0
APP-000047,-5,29630,21546,3341,0,0,1
APP-000047,-4,30372,20978,1939,0,0,1
APP-000047,-3,31750,21022,3402,0,0,1
APP-000047,-2,28806,22838,2534,0,0,1
APP-000047,-1,27356,22469,2040,0,0,1
APP-000047,0,27732,21482,3197,0,0,1
APP-000048,-5,87513,80792,2351,0,0,0
APP-000048,-4,99378,83230,2495,0,0,0
APP-000048,-3,121914,74402,23953,0,0,0
APP-000048,-2,103491,69009,15126,0,0,0
APP-000048,-1,128814,97000,13680,0,1,0
APP-000048,0,75283,50998,8774,0,0,0
APP-000049,-5,85558,78402,3748,1,0,1
APP-000049,-4,74177,50114,9686,0,0,0
APP-000049,-3,85815,76690,2048,0,0,1
APP-000049,-2,78277,62357,4590,0,0,1
APP-000049,-1,92965,70289,3426,0,0,1
APP-000049,0,74756,59865,3183,0,0,1
APP-000050,-5,158326,111154,15498,0,0,1
APP-000050,-4,130579,111142,9177,0,0,1
APP-000050,-3,142255,85495,8670,0,0,1
APP-000050,-2,133998,85812,11563,0,0,1
APP-000050,-1,150061,106365,20271,0,0,1
APP-000050,0,155507,145981,3099,0,0,1
APP-000051,-5,94235,74671,8190,0,0,0
APP-000051,-4,136470,129243,3219,0,0,0
APP-000051,-3,122776,107635,3490,0,0,0
APP-000051,-2,109307,84918,4407,0,0,0
APP-000051,-1,81680,58843,8380,0,0,0
APP-000051,0,154866,99849,19496,0,0,0
APP-000052,-5,56869,49183,3174,0,1,0
APP-000052,-4,71521,63089,3635,0,0,0
APP-000052,-3,74059,60121,2592,0,0,0
APP-000052,-2,49252,30316,8448,0,0,0
APP-000052,-1,82175,59003,8715,0,0,0
APP-000052,0,58151,39689,9415,0,0,0
APP-000053,-5,183464,143840,8799,0,0,1
APP-000053,-4,181508,111968,15660,0,0,1
APP-000053,-3,190112,114908,43824,0,0,1
APP-000053,-2,175059,119374,16812,0,0,1
APP-000053,-1,168686,113189,24382,0,0,1
APP-000053,0,177841,142407,8588,0,0,1
APP-000054,-5,54394,43846,3215,0,0,0
APP-000054,-4,50223,46509,595,0,0,0
APP-000054,-3,80304,54509,5429,0,0,0
APP-000054,-2,83495,52772,7565,0,0,0
APP-000054,-1,98788,66848,10265,0,0,0
APP-000054,0,93067,58062,19907,0,0,0
APP-000055,-5,98046,84735,5021,0,0,1
APP-000055,-4,101940,75151,10424,0,0,1
APP-000055,-3,81963,70830,4495,0,0,1
APP-000055,-2,89580,70129,3140,0,0,1
APP-000055,-1,96940,88189,3411,0,0,1
APP-000055,0,93439,85356,2545,0,0,1
APP-000056,-5,40059,37662,1328,0,0,1
APP-000056,-4,45584,41597,2117,0,0,1
APP-000056,-3,43136,39074,663,0,0,1
APP-000056,-2,39949,36870,575,0,0,1
APP-000056,-1,44750,42335,1154,0,0,1
APP-000056,0,41053,26344,3232,0,0,1
APP-000057,-5,45300,27593,8317,0,0,0
APP-000057,-4,56170,50733,1380,0,0,0
APP-000057,-3,35885,24288,5813,0,0,0
APP-000057,-2,25924,23370,506,0,0,0
APP-000057,-1,26719,19782,2627,0,1,0
APP-000057,0,28235,25351,877,1,0,0
APP-000058,-5,59544,41091,10971,0,0,1
APP-000058,-4,61586,45267,6974,0,0,1
APP-000058,-3,64144,43233,8014,0,0,1
APP-000058,-2,53044,42899,1721,0,0,1
APP-000058,-1,59374,48678,2614,1,0,1
APP-000058,0,57875,42025,4689,0,0,1
