application_id,cibil_score,num_active_loans,total_outstanding_debt,credit_utilization_pct,num_credit_inquiries_30d,num_credit_inquiries_90d,has_previous_default,days_since_last_default,credit_age_months,num_credit_cards
APP-000001,706,0,0,20.2,1,1,0,0,141,1
APP-000002,573,1,94859,41.7,0,0,0,0,118,2
APP-000003,781,4,1759605,58.3,3,5,0,0,162,0
APP-000004,471,0,0,27.0,0,2,1,399,114,0
APP-000005,698,1,137305,49.6,0,0,0,0,122,0
APP-000006,625,1,589577,46.7,3,3,1,1547,177,2
APP-000007,766,1,93301,63.9,2,5,0,0,178,3
APP-000008,665,0,0,23.3,1,3,1,1269,123,1
APP-000009,641,1,276949,28.2,2,2,1,1317,113,0
APP-000010,749,1,101885,61.0,0,0,0,0,147,2
APP-000011,891,0,0,19.7,1,1,0,0,144,0
APP-000012,732,0,0,27.9,0,2,0,0,123,1
APP-000013,537,3,1228470,4.0,0,1,1,1638,105,1
APP-000014,770,2,1307607,35.2,1,1,0,0,180,2
APP-000015,577,2,537130,11.2,3,5,1,1179,155,0
APP-000016,624,1,524822,64.5,3,3,1,532,118,1
APP-000017,747,1,682647,79.0,0,0,0,0,104,2
APP-000018,711,1,105562,50.6,0,0,0,0,160,2
APP-000019,693,3,2922567,14.1,1,2,0,0,124,1
APP-000020,534,1,167702,35.0,0,0,0,0,138,1
APP-000021,627,1,392759,53.2,2,2,0,0,181,2
APP-000022,677,2,534553,39.2,0,0,0,0,128,1
APP-000023,768,3,882909,70.8,1,2,0,0,184,2
APP-000024,752,3,877232,13.1,1,1,0,0,234,1
APP-000025,743,4,558886,43.3,3,5,0,0,211,1
APP-000026,589,0,0,20.3,1,4,1,193,161,2
APP-000027,771,1,212083,41.0,1,1,0,0,157,3
APP-000028,581,0,0,12.2,2,5,1,641,99,2
APP-000029,586,0,0,28.5,0,0,1,263,162,0
APP-000030,614,0,0,17.6,3,3,0,0,148,2
APP-000031,885,0,0,17.5,0,2,0,0,153,2
APP-000032,598,0,0,5.1,0,1,0,0,145,1
APP-000033,608,1,149052,21.9,4,5,0,0,132,2
APP-000034,798,0,0,14.6,1,3,0,0,93,3
APP-000035,664,0,0,10.1,0,1,0,0,184,1
APP-000036,787,2,1721533,15.3,0,2,0,0,169,1
APP-000037,671,0,0,27.3,2,2,0,0,92,2
APP-000038,583,2,238735,51.1,4,4,0,0,142,1
APP-000039,717,3,123609,19.7,0,3,0,0,165,2
APP-000040,680,0,0,16.8,2,3,1,438,105,0
APP-000041,795,0,0,17.6,4,4,0,0,104,1
APP-000042,728,0,0,8.0,1,1,0,0,147,1
APP-000043,664,1,272128,64.3,0,1,0,0,215,2
APP-000044,731,1,839105,15.1,0,0,0,0,210,0
APP-000045,600,0,0,6.4,0,1,0,0,123,2
APP-000046,706,0,0,13.7,2,4,0,0,173,0
APP-000047,867,1,130738,31.0,1,2,0,0,135,3
APP-000048,604,1,597370,28.8,0,0,0,0,97,3
APP-000049,718,0,0,23.8,0,1,0,0,194,2
APP-000050,810,1,389948,48.9,0,3,0,0,104,3
APP-000051,564,1,409190,16.7,1,3,0,0,89,2
APP-000052,459,2,361039,68.6,2,2,1,654,131,3
APP-000053,628,1,541790,25.5,2,2,1,727,126,1
APP-000054,754,1,177738,48.1,1,1,0,0,253,1
APP-000055,851,0,0,16.8,1,1,0,0,267,1
APP-000056,704,1,351942,64.4,1,1,0,0,114,2
APP-000057,760,1,181761,24.6,0,0,0,0,130,1
APP-000058,774,1,260713,66.1,0,0,0,0,113,0
APP-000059,772,0,0,17.5,2,3,0,0,136,1
APP-000060,825,2,593515,11.5,5,5,0,0,128,2
APP-000061,687,1,1246408,81.8,1,2,0,0,96,1
APP-000062,718,1,538016,25.8,2,3,0,0,205,1
APP-000063,799,0,0,8.5,1,1,0,0,120,2
APP-000064,832,0,0,11.8,0,0,0,0,88,1
APP-000065,632,0,0,6.1,0,2,1,1111,95,1
APP-000066,745,2,243064,33.8,4,4,0,0,145,1
APP-000067,692,2,882996,19.8,0,1,0,0,119,1
APP-000068,747,3,1184012,19.3,4,4,0,0,160,1
APP-000069,900,2,424818,47.7,0,0,0,0,62,4
APP-000070,723,1,371745,67.6,3,3,0,0,188,2
APP-000071,900,1,113569,39.4,0,0,0,0,178,3
APP-000072,897,2,444956,39.7,1,1,0,0,128,3
APP-000073,667,0,0,20.6,0,0,1,1524,117,4
APP-000074,734,1,379010,40.9,1,1,0,0,136,2
APP-000075,690,1,167023,3.5,0,3,1,198,161,0
APP-000076,742,1,70069,17.9,0,1,0,0,241,3
APP-000077,740,0,0,12.6,0,0,0,0,179,1
APP-000078,685,2,790270,62.8,2,2,0,0,116,0
APP-000079,757,0,0,8.6,0,0,0,0,206,2
APP-000080,900,2,616926,23.6,1,1,0,0,157,0
APP-000081,646,1,568814,72.9,5,7,1,1434,130,3
APP-000082,720,2,316194,87.9,2,4,0,0,156,3
APP-000083,597,2,1080046,68.3,0,0,0,0,212,0
APP-000084,669,1,119331,41.8,1,1,1,576,94,1
APP-000085,560,1,217062,7.1,1,2,1,560,113,1
APP-000086,747,0,0,13.0,1,1,0,0,139,2
APP-000087,613,1,439808,71.7,0,1,1,877,238,2
APP-000088,697,0,0,20.5,0,1,0,0,123,0
APP-000089,604,0,0,7.2,0,0,0,0,105,1
APP-000090,592,3,1353117,13.7,2,2,0,0,160,2
APP-000091,601,2,338098,61.7,2,2,1,1249,161,3
APP-000092,662,1,280228,21.2,1,1,0,0,97,0
APP-000093,749,1,414429,18.6,0,0,0,0,153,2
APP-000094,769,1,265452,21.9,2,2,0,0,157,1
APP-000095,900,0,0,5.2,1,1,0,0,137,1
APP-000096,576,2,2432968,30.8,1,1,1,1100,86,1
APP-000097,608,2,337689,46.4,3,3,1,1569,181,2
APP-000098,638,0,0,21.6,1,1,1,996,176,1
APP-000099,578,2,476866,57.4,1,2,1,1583,99,3
APP-000100,773,0,0,25.0,0,0,0,0,121,1
APP-000101,819,1,90172,31.3,1,3,0,0,141,1
APP-000102,630,3,1184580,8.2,1,2,0,0,181,0
APP-000103,614,0,0,13.2,0,2,1,1647,170,2
APP-000104,619,4,2577103,55.3,2,4,1,609,151,1
APP-000105,649,2,1024267,13.1,3,3,1,1263,163,3
APP-000106,709,1,341631,38.2,1,1,0,0,96,2
APP-000107,688,0,0,14.2,1,1,0,0,196,1
APP-000108,571,2,603453,17.4,3,5,1,1424,107,1
APP-000109,559,0,0,18.2,1,1,1,876,178,1
APP-000110,714,4,1837690,28.1,0,0,0,0,187,1
APP-000111,694,1,423490,67.2,2,2,0,0,157,0
APP-000112,813,3,1347216,13.9,0,3,0,0,155,0
APP-000113,736,4,1027976,32.5,0,2,0,0,149,1
APP-000114,598,0,0,9.8,0,0,0,0,135,1
APP-000115,681,0,0,23.5,1,2,0,0,138,4
APP-000116,649,2,324560,28.7,2,4,1,847,84,2
APP-000117,811,2,158612,43.4,1,1,0,0,130,3
APP-000118,563,1,147564,42.6,1,1,1,863,80,2
APP-000119,655,0,0,10.3,4,6,1,768,110,3
APP-000120,706,2,491476,29.0,0,0,0,0,188,1
APP-000121,547,0,0,29.3,3,4,0,0,131,3
APP-000122,678,2,1217048,35.3,1,2,0,0,160,1
APP-000123,778,1,193968,38.0,1,1,0,0,179,1
