application_id,quarter,declared_turnover,tax_paid,filing_status,days_late
APP-000001,Q1-2024,194268.0,21914.0,Late,109.0
APP-000001,Q2-2024,164317.0,17877.0,Filed On Time,0.0
APP-000001,Q3-2024,146278.0,20044.0,Filed On Time,0.0
APP-000001,Q4-2024,178124.0,12980.0,Filed On Time,0.0
APP-000005,Q1-2023,97127.0,16137.0,Filed On Time,0.0
APP-000005,Q2-2023,82995.0,11325.0,Filed On Time,0.0
APP-000005,Q3-2023,74133.0,10021.0,Filed On Time,0.0
APP-000005,Q4-2023,62830.0,8749.0,Late,109.0
APP-000005,Q1-2024,,,Missing,
APP-000005,Q2-2024,80153.0,6939.0,Filed On Time,0.0
APP-000005,Q3-2024,96043.0,16820.0,Filed On Time,0.0
APP-000005,Q4-2024,88866.0,9824.0,Filed On Time,0.0
APP-000006,Q1-2024,279386.0,46927.0,Late,75.0
APP-000006,Q2-2024,390749.0,58763.0,Filed On Time,0.0
APP-000006,Q3-2024,387465.0,30230.0,Filed On Time,0.0
APP-000006,Q4-2024,376900.0,19876.0,Filed On Time,0.0
APP-000010,Q1-2023,,,Missing,
APP-000010,Q2-2023,,,Missing,
APP-000010,Q3-2023,,,Missing,
APP-000010,Q4-2023,202782.0,30119.0,Late,29.0
APP-000010,Q1-2024,251102.0,37713.0,Late,107.0
APP-000010,Q2-2024,180260.0,20005.0,Filed On Time,0.0
APP-000010,Q3-2024,274413.0,40851.0,Filed On Time,0.0
APP-000010,Q4-2024,243401.0,37986.0,Late,111.0
APP-000012,Q1-2023,505407.0,40352.0,Late,110.0
APP-000012,Q2-2023,,,Missing,
APP-000012,Q3-2023,,,Missing,
APP-000012,Q4-2023,,,Missing,
APP-000012,Q1-2024,501217.0,48962.0,Filed On Time,0.0
APP-000012,Q2-2024,383848.0,20423.0,Late,81.0
APP-000012,Q3-2024,565175.0,96725.0,Filed On Time,0.0
APP-000012,Q4-2024,487393.0,35457.0,Late,62.0
APP-000017,Q1-2023,465667.0,55059.0,Filed On Time,0.0
APP-000017,Q2-2023,,,Missing,
APP-000017,Q3-2023,367731.0,54379.0,Filed On Time,0.0
APP-000017,Q4-2023,316925.0,26964.0,Filed On Time,0.0
APP-000017,Q1-2024,439577.0,41194.0,Filed On Time,0.0
APP-000017,Q2-2024,336002.0,55379.0,Filed On Time,0.0
APP-000017,Q3-2024,431406.0,64348.0,Filed On Time,0.0
APP-000017,Q4-2024,418478.0,47659.0,Filed On Time,0.0
APP-000019,Q1-2023,544758.0,36574.0,Filed On Time,0.0
APP-000019,Q2-2023,478508.0,42076.0,Filed On Time,0.0
APP-000019,Q3-2023,,,Missing,
APP-000019,Q4-2023,450221.0,40706.0,Filed On Time,0.0
APP-000019,Q1-2024,461707.0,79503.0,Filed On Time,0.0
APP-000019,Q2-2024,417229.0,40967.0,Filed On Time,0.0
APP-000019,Q3-2024,574276.0,96216.0,Filed On Time,0.0
APP-000019,Q4-2024,498548.0,45901.0,Filed On Time,0.0
APP-000026,Q1-2023,149243.0,25570.0,Filed On Time,0.0
APP-000026,Q2-2023,136749.0,11846.0,Filed On Time,0.0
APP-000026,Q3-2023,111796.0,19804.0,Late,37.0
APP-000026,Q4-2023,150927.0,23133.0,Filed On Time,0.0
APP-000026,Q1-2024,146867.0,11646.0,Late,35.0
APP-000026,Q2-2024,141765.0,21504.0,Filed On Time,0.0
APP-000026,Q3-2024,,,Missing,
APP-000026,Q4-2024,114634.0,17114.0,Filed On Time,0.0
APP-000029,Q1-2023,,,Missing,
APP-000029,Q2-2023,70904.0,4098.0,Late,80.0
APP-000029,Q3-2023,93909.0,10966.0,Filed On Time,0.0
APP-000029,Q4-2023,94147.0,9710.0,Filed On Time,0.0
APP-000029,Q1-2024,,,Missing,
APP-000029,Q2-2024,121026.0,6203.0,Late,22.0
APP-000029,Q3-2024,112116.0,12128.0,Filed On Time,0.0
APP-000029,Q4-2024,90524.0,10219.0,Filed On Time,0.0
APP-000035,Q1-2023,738891.0,82090.0,Filed On Time,0.0
APP-000035,Q2-2023,566990.0,62297.0,Late,80.0
APP-000035,Q3-2023,887214.0,78445.0,Filed On Time,0.0
APP-000035,Q4-2023,717859.0,36340.0,Filed On Time,0.0
APP-000035,Q1-2024,885395.0,63307.0,Filed On Time,0.0
APP-000035,Q2-2024,772235.0,72420.0,Filed On Time,0.0
APP-000035,Q3-2024,846595.0,97548.0,Filed On Time,0.0
APP-000035,Q4-2024,610191.0,50246.0,Filed On Time,0.0
APP-000037,Q1-2023,345230.0,61720.0,Filed On Time,0.0
APP-000037,Q2-2023,319665.0,30234.0,Filed On Time,0.0
APP-000037,Q3-2023,328995.0,42650.0,Late,51.0
APP-000037,Q4-2023,257191.0,35820.0,Late,119.0
APP-000037,Q1-2024,268073.0,33696.0,Filed On Time,0.0
APP-000037,Q2-2024,262030.0,41208.0,Filed On Time,0.0
APP-000037,Q3-2024,324677.0,46181.0,Late,106.0
APP-000037,Q4-2024,299419.0,38606.0,Late,92.0
APP-000042,Q1-2024,199161.0,14715.0,Filed On Time,0.0
APP-000042,Q2-2024,,,Missing,
APP-000042,Q3-2024,144240.0,8422.0,Filed On Time,0.0
APP-000042,Q4-2024,174957.0,29959.0,Filed On Time,0.0
APP-000046,Q2-2023,,,Missing,
APP-000046,Q3-2023,218573.0,35127.0,Late,33.0
APP-000046,Q4-2023,170703.0,22500.0,Filed On Time,0.0
APP-000046,Q1-2024,195844.0,11941.0,Filed On Time,0.0
APP-000046,Q2-2024,189486.0,11813.0,Filed On Time,0.0
APP-000046,Q3-2024,157052.0,10652.0,Filed On Time,0.0
APP-000046,Q4-2024,214116.0,37689.0,Filed On Time,0.0
APP-000048,Q1-2023,389280.0,42736.0,Late,4.0
APP-000048,Q2-2023,294056.0,51849.0,Filed On Time,0.0
APP-000048,Q3-2023,338714.0,45962.0,Late,83.0
APP-000048,Q4-2023,331303.0,42526.0,Filed On Time,0.0
APP-000048,Q1-2024,354108.0,61435.0,Filed On Time,0.0
APP-000048,Q2-2024,303067.0,50994.0,Filed On Time,0.0
APP-000048,Q3-2024,393090.0,50248.0,Late,23.0
APP-000048,Q4-2024,292661.0,25166.0,Filed On Time,0.0
APP-000051,Q1-2023,,,Missing,
APP-000051,Q2-2023,439897.0,77133.0,Filed On Time,0.0
APP-000051,Q3-2023,438066.0,49939.0,Filed On Time,0.0
APP-000051,Q4-2023,461208.0,63274.0,Filed On Time,0.0
APP-000051,Q1-2024,443910.0,79080.0,Filed On Time,0.0
APP-000051,Q2-2024,305030.0,15816.0,Filed On Time,0.0
APP-000051,Q3-2024,449628.0,25844.0,Filed On Time,0.0
APP-000051,Q4-2024,358430.0,38811.0,Filed On Time,0.0
APP-000052,Q1-2024,243399.0,34612.0,Filed On Time,0.0
