application_id,is_default,first_default_month,max_days_past_due,total_payments_made,default_probability_actual
APP-000001,1,9,120,8,0.11
APP-000002,0,0,0,36,0.591
APP-000003,0,0,0,48,0.51
APP-000004,1,4,30,3,0.56
APP-000005,1,3,60,2,0.53
APP-000006,1,8,60,7,0.92
APP-000007,0,0,0,36,0.11
APP-000008,0,0,1,24,0.46
APP-000009,0,0,0,48,0.46
APP-000010,0,0,5,60,0.608
APP-000011,0,0,0,60,0.06
APP-000012,1,6,30,5,0.92
APP-000013,0,0,5,60,0.64
APP-000014,1,1,60,0,0.06
APP-000015,0,0,0,24,0.71
APP-000016,1,6,60,5,0.92
APP-000017,0,0,1,60,0.165
APP-000018,0,0,0,24,0.24
APP-000019,1,7,30,6,0.345
APP-000020,0,0,0,12,0.671
APP-000021,0,0,0,36,0.46
APP-000022,0,0,0,48,0.23
APP-000023,1,10,90,9,0.14
APP-000024,1,5,60,4,0.06
APP-000025,1,3,120,2,0.61
APP-000026,1,6,90,5,0.92
APP-000027,0,0,0,48,0.11
APP-000028,1,6,120,5,0.56
APP-000029,1,9,30,8,0.92
APP-000030,0,0,0,18,0.49
APP-000031,0,0,0,36,0.291
APP-000032,0,0,0,60,0.58
APP-000033,1,8,90,7,0.92
APP-000034,0,0,0,48,0.06
APP-000035,0,0,0,48,0.26
APP-000036,0,0,0,48,0.4
APP-000037,0,0,0,48,0.411
APP-000038,1,6,90,5,0.89
APP-000039,0,0,0,24,0.11
APP-000040,1,5,90,4,0.46
APP-000041,1,5,90,4,0.51
APP-000042,1,8,90,7,0.385
APP-000043,1,1,90,0,0.34
APP-000044,0,0,0,24,0.19
APP-000045,0,0,0,24,0.42
APP-000046,1,8,60,7,0.385
APP-000047,0,0,0,36,0.06
APP-000048,0,0,0,48,0.39
APP-000049,0,0,0,36,0.19
APP-000050,0,0,0,36,0.291
APP-000051,1,5,120,4,0.695
APP-000052,1,2,30,1,0.69
APP-000053,0,0,0,24,0.76
APP-000054,0,0,1,60,0.165
APP-000055,0,0,0,36,0.06
APP-000056,1,8,30,7,0.45
APP-000057,1,7,90,6,0.25
APP-000058,0,0,0,48,0.14
APP-000059,1,4,90,3,0.92
APP-000060,0,0,0,24,0.441
APP-000061,1,5,180,4,0.48
APP-000062,0,0,5,48,0.11
APP-000063,1,3,120,2,0.371
APP-000064,0,0,0,36,0.06
APP-000065,1,8,90,7,0.92
APP-000066,1,5,60,4,0.92
APP-000067,1,3,60,2,0.92
APP-000068,0,0,1,48,0.841
APP-000069,0,0,0,48,0.06
APP-000070,0,0,1,36,0.77
APP-000071,0,0,0,60,0.36
APP-000072,0,0,0,60,0.17
APP-000073,0,0,1,60,0.46
APP-000074,1,8,30,7,0.31
APP-000075,1,4,90,3,0.58
APP-000076,0,0,0,48,0.16
APP-000077,0,0,15,36,0.11
APP-000078,0,0,15,48,0.4
APP-000079,1,6,30,5,0.371
APP-000080,0,0,15,60,0.14
APP-000081,1,11,120,10,0.92
APP-000082,1,4,30,3,0.35
APP-000083,1,5,60,4,0.49
APP-000084,1,6,90,5,0.46
APP-000085,1,2,30,1,0.86
APP-000086,0,0,0,36,0.27
APP-000087,1,5,60,4,0.92
APP-000088,0,0,0,24,0.18
APP-000089,1,3,90,2,0.39
APP-000090,1,4,90,3,0.49
